player_name,match_link,home_team
Marian Spanier,/spielbericht/index/spielbericht/2479807,False
Bastian Göller,/spielbericht/index/spielbericht/2479807,False
Stefan Staskewitsch,/spielbericht/index/spielbericht/2479807,False
Christoph Grabinski,/spielbericht/index/spielbericht/2479807,False
Philipp Röppnack,/spielbericht/index/spielbericht/2479807,False
René Rudolph,/spielbericht/index/spielbericht/2479807,False
Rico Heuschkel,/spielbericht/index/spielbericht/2479807,False
Marcel Schulz,/spielbericht/index/spielbericht/2479807,False
Steven Sonnenberg,/spielbericht/index/spielbericht/2479807,False
Marius Kansy,/spielbericht/index/spielbericht/2500253,True
Tom Renner,/spielbericht/index/spielbericht/2500253,True
Torsten Lehmann,/spielbericht/index/spielbericht/2500253,True
Sebastian Seifert,/spielbericht/index/spielbericht/2500253,True
Nicky Ebert,/spielbericht/index/spielbericht/2500253,True
Tino Oechsner,/spielbericht/index/spielbericht/2500253,True
Michél Hennig,/spielbericht/index/spielbericht/2500253,True
Rico Gängel,/spielbericht/index/spielbericht/2500253,True
Pavel Pfeifer,/spielbericht/index/spielbericht/2500253,True
Timo Breitkopf,/spielbericht/index/spielbericht/2500253,True
Dan Lochmann,/spielbericht/index/spielbericht/2500253,True
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2500253,False
Markus Krug,/spielbericht/index/spielbericht/2500253,False
Gino Böhne,/spielbericht/index/spielbericht/2500253,False
Marcel Trojandt,/spielbericht/index/spielbericht/2500253,False
Dustin Scheibe,/spielbericht/index/spielbericht/2500253,False
Sebastian Dräger,/spielbericht/index/spielbericht/2500253,False
Sebastian Zielinsky,/spielbericht/index/spielbericht/2500253,False
Andy Wendschuch,/spielbericht/index/spielbericht/2500253,False
Ramón Hofmann,/spielbericht/index/spielbericht/2500253,False
Alexander Langner,/spielbericht/index/spielbericht/2500253,False
Gianluca Marzullo,/spielbericht/index/spielbericht/2500253,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2500484,True
Markus Krug,/spielbericht/index/spielbericht/2500484,True
Gino Böhne,/spielbericht/index/spielbericht/2500484,True
Marcel Trojandt,/spielbericht/index/spielbericht/2500484,True
Dustin Scheibe,/spielbericht/index/spielbericht/2500484,True
Sebastian Dräger,/spielbericht/index/spielbericht/2500484,True
Andy Wendschuch,/spielbericht/index/spielbericht/2500484,True
Alexander Langner,/spielbericht/index/spielbericht/2500484,True
Ramón Hofmann,/spielbericht/index/spielbericht/2500484,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2500484,True
Djamal Ziane,/spielbericht/index/spielbericht/2500484,True
Marius Schulze,/spielbericht/index/spielbericht/2500484,False
Moritz Lehnard,/spielbericht/index/spielbericht/2500484,False
Joseph Gröschke,/spielbericht/index/spielbericht/2500484,False
Daniel Hänsch,/spielbericht/index/spielbericht/2500484,False
Sebastian Klemm,/spielbericht/index/spielbericht/2500484,False
Robin Teubner,/spielbericht/index/spielbericht/2500484,False
Dominic Baars,/spielbericht/index/spielbericht/2500484,False
Felix Kunert,/spielbericht/index/spielbericht/2500484,False
Richard Koch,/spielbericht/index/spielbericht/2500484,False
Hakki Yildiz,/spielbericht/index/spielbericht/2500484,False
Alexander Dartsch,/spielbericht/index/spielbericht/2500484,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2500492,True
Markus Krug,/spielbericht/index/spielbericht/2500492,True
Damian Paszlinski,/spielbericht/index/spielbericht/2500492,True
Marcel Trojandt,/spielbericht/index/spielbericht/2500492,True
Dustin Scheibe,/spielbericht/index/spielbericht/2500492,True
Sebastian Dräger,/spielbericht/index/spielbericht/2500492,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2500492,True
Andy Wendschuch,/spielbericht/index/spielbericht/2500492,True
Ramón Hofmann,/spielbericht/index/spielbericht/2500492,True
Alexander Langner,/spielbericht/index/spielbericht/2500492,True
Djamal Ziane,/spielbericht/index/spielbericht/2500492,True
Thomas Dähne,/spielbericht/index/spielbericht/2500492,False
Lukas Klostermann,/spielbericht/index/spielbericht/2500492,False
Alexander Sorge,/spielbericht/index/spielbericht/2500492,False
Hannes Mietzelfeld,/spielbericht/index/spielbericht/2500492,False
Mikko Sumusalo,/spielbericht/index/spielbericht/2500492,False
René Legien,/spielbericht/index/spielbericht/2500492,False
Paul Schinke,/spielbericht/index/spielbericht/2500492,False
Michel Niemeyer,/spielbericht/index/spielbericht/2500492,False
Alexander Siebeck,/spielbericht/index/spielbericht/2500492,False
Federico Palacios,/spielbericht/index/spielbericht/2500492,False
Tom Nattermann,/spielbericht/index/spielbericht/2500492,False
Maximilian Reule,/spielbericht/index/spielbericht/2500498,True
Tom Wolny,/spielbericht/index/spielbericht/2500498,True
Alexander Mattern,/spielbericht/index/spielbericht/2500498,True
Philip Einsiedel,/spielbericht/index/spielbericht/2500498,True
